Nº ocorrência;Data;Aeronave;Classificação;Tipo;Subtipo;Localidade;UF;Segmento;Status;Link
77202;29/12/2017;PPWGS;INCIDENTE GRAVE;RE;EXCURSÃO DE PISTA;UBATUBA;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
77248;09/12/2017;PTOTV;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;GOIÂNIA;GO;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
77259;06/12/2017;PTOCL;ACIDENTE;ARC;POUSO SEM TREM;NAVEGANTES;SC;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
77267;03/12/2017;PROTO;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;ELDORADO;MS;PARTICULAR;FINALIZADA;SAIBA MAIS
77267;03/12/2017;PROTO;ACIDENTE;RE;EXCURSÃO DE PISTA;ELDORADO;MS;PARTICULAR;FINALIZADA;SAIBA MAIS
77276;30/11/2017;PRMBG;INCIDENTE GRAVE;OTHR;CAUSADO POR FENÔMENO METEOROLÓGICO NO SOLO;BRASÍLIA;DF;REGULAR;FINALIZADA;SAIBA MAIS
77276;30/11/2017;PRMBG;INCIDENTE GRAVE;RE;EXCURSÃO DE PISTA;BRASÍLIA;DF;REGULAR;FINALIZADA;SAIBA MAIS
77278;30/11/2017;PTJVM;ACIDENTE;SCF-NP;COM TREM DE POUSO;MARINGÁ;PR;PARTICULAR;FINALIZADA;SAIBA MAIS
77301;25/11/2017;PTUZI;ACIDENTE;SCF-NP;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;UBARANA;SP;AGRÍCOLA;FINALIZADA;SAIBA MAIS
77316;19/11/2017;PRMFP;ACIDENTE;RE;EXCURSÃO DE PISTA;SÃO PAULO;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
77320;18/11/2017;PRGXW;INCIDENTE GRAVE;RE;POUSO LONGO;FOZ DO IGUAÇU;PR;REGULAR;FINALIZADA;SAIBA MAIS
77324;17/11/2017;PTDNY;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;SANTARÉM;PA;PARTICULAR;FINALIZADA;SAIBA MAIS
77337;13/11/2017;PREGD;INCIDENTE GRAVE;CTOL;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;JOÃO PESSOA;PB;PARTICULAR;FINALIZADA;SAIBA MAIS
77349;11/11/2017;PTOIY;ACIDENTE;ARC;POUSO SEM TREM;JI-PARANÁ;RO;PARTICULAR;FINALIZADA;SAIBA MAIS
77371;02/11/2017;PTEVH;ACIDENTE;RE;EXCURSÃO DE PISTA;CANUTAMA;AM;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
77371;02/11/2017;PTEVH;ACIDENTE;SCF-NP;ESTOURO DE PNEU;CANUTAMA;AM;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
77378;31/10/2017;PRIVI;INCIDENTE GRAVE;RE;POUSO LONGO;JUIZ DE FORA;MG;PARTICULAR;FINALIZADA;SAIBA MAIS
77391;28/10/2017;PTICY;ACIDENTE;RE;POUSO LONGO;ALTO PARAÍSO DE GOIÁS;GO;ADMINISTRAÇÃO DIRETA;FINALIZADA;SAIBA MAIS
77407;22/10/2017;PTORU;ACIDENTE;LALT;OPERAÇÃO A BAIXA ALTITUDE;ITAITUBA;PA;PARTICULAR;FINALIZADA;SAIBA MAIS
77431;15/10/2017;PPNPC;INCIDENTE GRAVE;SCF-NP;ESTOURO DE PNEU;MARINGÁ;PR;PARTICULAR;FINALIZADA;SAIBA MAIS
77441;12/10/2017;PTJVL;ACIDENTE;RE;EXCURSÃO DE PISTA;ATIBAIA;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
77450;10/10/2017;PTGOC;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;LUCAS DO RIO VERDE;MT;ESPECIALIZADA;FINALIZADA;SAIBA MAIS
77454;07/10/2017;PPGEM;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;SÃO JOSÉ DOS CAMPOS;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
77470;01/10/2017;PTWLE;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;FORMOSA;GO;PARTICULAR;FINALIZADA;SAIBA MAIS
77487;26/09/2017;PPFGQ;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;CURITIBA;PR;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
77502;21/09/2017;PTWHE;INCIDENTE GRAVE;RE;EXCURSÃO DE PISTA;MUCURI;BA;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
77505;20/09/2017;PTRHM;ACIDENTE;RE;EXCURSÃO DE PISTA;NOVO HAMBURGO;RS;PARTICULAR;FINALIZADA;SAIBA MAIS
77521;15/09/2017;PTWXX;INCIDENTE GRAVE;ARC;POUSO BRUSCO;CATALÃO;GO;PARTICULAR;FINALIZADA;SAIBA MAIS
77602;22/08/2017;PTLDV;ACIDENTE;RE;EXCURSÃO DE PISTA;MANAUS;AM;PARTICULAR;FINALIZADA;SAIBA MAIS
67137;12/08/2017;PUMON;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;LUZIÂNIA;GO;EXPERIMENTAL;FINALIZADA;SAIBA MAIS
67118;08/08/2017;PRHAC;ACIDENTE;ARC;CONTATO ANORMAL COM A PISTAA;TEÓFILO OTONI;MG;ADMINISTRAÇÃO DIRETA;FINALIZADA;SAIBA MAIS
67118;08/08/2017;PRHAC;ACIDENTE;RE;EXCURSÃO DE PISTA;TEÓFILO OTONI;MG;ADMINISTRAÇÃO DIRETA;FINALIZADA;SAIBA MAIS
67040;21/07/2017;PTLKX;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;FRANCISCO BELTRÃO;PR;PARTICULAR;FINALIZADA;SAIBA MAIS
67058;20/07/2017;PRPRF;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;SANTO ANTÔNIO DO LEVERGER;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
67142;19/07/2017;PRAVC;INCIDENTE GRAVE;CFIT;VOO CONTROLADO CONTRA O TERRENO;RIO DE JANEIRO;RJ;REGULAR;FINALIZADA;SAIBA MAIS
67011;17/07/2017;PTOPT;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;PONTA GROSSA;PR;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
66977;10/07/2017;PTDQQ;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;LAGES;SC;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
66962;04/07/2017;PTWBP;ACIDENTE;RE;POUSO LONGO;UBATUBA;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
66953;03/07/2017;PRMFR;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;CANTÁ;RR;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
66911;21/06/2017;PTFAL;ACIDENTE;OTHR;CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO;BONFIM;RR;PARTICULAR;FINALIZADA;SAIBA MAIS
66810;08/05/2017;PTUSG;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;NOVA MARINGÁ;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
66650;15/04/2017;PRCHR;ACIDENTE;CTOL;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CABO FRIO;RJ;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
66654;14/04/2017;PRLPW;ACIDENTE;CTOL;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CASSILÂNDIA;MS;PARTICULAR;FINALIZADA;SAIBA MAIS
66639;13/04/2017;PTXTU;ACIDENTE;CTOL;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;BANDEIRANTES;PR;PARTICULAR;FINALIZADA;SAIBA MAIS
66616;10/04/2017;PTMEA;ACIDENTE;CTOL;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;POÇOS DE CALDAS;MG;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
66559;24/03/2017;PPHPA;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;ATIBAIA;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
66543;22/03/2017;PPPTQ;INCIDENTE GRAVE;SCF-NP;COM COMANDOS DE VOO;GUARULHOS;SP;REGULAR;FINALIZADA;SAIBA MAIS
66550;20/03/2017;PRTTH;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;COARI;AM;REGULAR;FINALIZADA;SAIBA MAIS
66527;17/03/2017;PTOQT;INCIDENTE GRAVE;SCF-NP;ESTOURO DE PNEU;CARAUARI;AM;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
66529;17/03/2017;PTYHH;ACIDENTE;FUEL;PANE SECA;ARAUCÁRIA;PR;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
66525;16/03/2017;PTVNZ;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;CUIABÁ;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
66555;15/03/2017;PPHMM;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;BENTO GONÇALVES;RS;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
66457;01/03/2017;PRMEY;ACIDENTE;ARC;POUSO BRUSCO;CAMPOS DOS GOYTACAZES;RJ;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
66450;22/02/2017;PRFLM;INCIDENTE GRAVE;ARC;POUSO SEM TREM;FLORIANÓPOLIS;SC;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
66444;22/02/2017;PTMZY;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;SÃO PAULO;SP;REGULAR;FINALIZADA;SAIBA MAIS
66444;22/02/2017;PTMZY;INCIDENTE GRAVE;RE;EXCURSÃO DE PISTA;SÃO PAULO;SP;REGULAR;FINALIZADA;SAIBA MAIS
66444;22/02/2017;PTMZY;INCIDENTE GRAVE;SCF-PP;FALHA DO MOTOR NO SOLO;SÃO PAULO;SP;REGULAR;FINALIZADA;SAIBA MAIS
66394;08/02/2017;PRORL;ACIDENTE;SCF-NP;COM TREM DE POUSO;CARAVELAS;BA;PARTICULAR;FINALIZADA;SAIBA MAIS
66350;04/02/2017;PTVSM;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;REDENÇÃO;PA;PARTICULAR;FINALIZADA;SAIBA MAIS
66323;28/01/2017;PRAZG;INCIDENTE GRAVE;SCF-NP;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SALVADOR;BA;REGULAR;FINALIZADA;SAIBA MAIS
66309;19/01/2017;PRSOM;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;PARATY;RJ;PARTICULAR;FINALIZADA;SAIBA MAIS
66244;05/01/2017;PRGRS;ACIDENTE;CTOL;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;TANGARÁ DA SERRA;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
66223;04/01/2017;PRRUY;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;MONTIVIDIU;GO;AGRÍCOLA;FINALIZADA;SAIBA MAIS
66223;04/01/2017;PRRUY;ACIDENTE;RE;EXCURSÃO DE PISTA;MONTIVIDIU;GO;AGRÍCOLA;FINALIZADA;SAIBA MAIS
66221;28/12/2016;PRKNE;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;GUARAPARI;ES;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
66192;27/12/2016;PTRFK;ACIDENTE;RE;EXCURSÃO DE PISTA;MARAÚ;BA;PARTICULAR;FINALIZADA;SAIBA MAIS
66093;09/12/2016;PPPLE;ACIDENTE;ARC;POUSO SEM TREM;ITAITUBA;PA;PARTICULAR;FINALIZADA;SAIBA MAIS
66127;08/12/2016;PTVSM;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;GOIÂNIA;GO;PARTICULAR;FINALIZADA;SAIBA MAIS
66090;07/12/2016;PPGXB;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;BRAGANÇA PAULISTA;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
66005;14/11/2016;PTOMK;ACIDENTE;SCF-NP;COM TREM DE POUSO;CAMPO GRANDE;MS;PARTICULAR;FINALIZADA;SAIBA MAIS
65921;29/10/2016;PPGCT;ACIDENTE;GCOL;COLISÃO COM AERONAVE NO SOLO;BLUMENAU;SC;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
65923;27/10/2016;PTWEB;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;NOVA GRANADA;SP;ESPECIALIZADA;FINALIZADA;SAIBA MAIS
65835;21/10/2016;PRSTN;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;RECIFE;PE;REGULAR;FINALIZADA;SAIBA MAIS
65835;21/10/2016;PRSTN;ACIDENTE;RE;EXCURSÃO DE PISTA;RECIFE;PE;REGULAR;FINALIZADA;SAIBA MAIS
65815;13/10/2016;PRDYD;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;CANELA;RS;MÚLTIPLA;FINALIZADA;SAIBA MAIS
65745;26/09/2016;PRFLM;ACIDENTE;SCF-NP;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;CURITIBA;PR;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
65743;24/09/2016;PTZUN;ACIDENTE;OTHR;PERDA DA CONSCIÊNCIA;MARINGÁ;PR;EXPERIMENTAL;FINALIZADA;SAIBA MAIS
65771;23/09/2016;PPGPM;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;PONTA GROSSA;PR;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
65717;17/09/2016;PRJVF;ACIDENTE;USOS;POUSO ANTES DA PISTA;MARAÚ;BA;PARTICULAR;FINALIZADA;SAIBA MAIS
65653;10/09/2016;PTMMP;ACIDENTE;RE;POUSO LONGO;ANGRA DOS REIS;RJ;PARTICULAR;FINALIZADA;SAIBA MAIS
65622;08/09/2016;PPFGD;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;CRUZ ALTA;RS;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
65569;27/08/2016;PTDTW;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;SÃO JOSÉ DOS CAMPOS;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
65536;21/08/2016;PRJSA;INCIDENTE GRAVE;CTOL;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;MANAUS;AM;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
65548;21/08/2016;PTKEX;ACIDENTE;ADRM;AERÓDROMO;SANTO ANTÔNIO DO LEVERGER;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
65548;21/08/2016;PTKEX;ACIDENTE;ARC;CONTATO ANORMAL COM A PISTAA;SANTO ANTÔNIO DO LEVERGER;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
65493;03/08/2016;PPMMJ;ACIDENTE;SCF-NP;COM TREM DE POUSO;LÁBREA;AM;PARTICULAR;FINALIZADA;SAIBA MAIS
65469;31/07/2016;PRMJW;ACIDENTE;ARC;POUSO BRUSCO;PIRACICABA;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
65412;12/07/2016;PRAAC;INCIDENTE GRAVE;SCF-NP;ESTOURO DE PNEU;CAMPO GRANDE;MS;ADMINISTRAÇÃO DIRETA;FINALIZADA;SAIBA MAIS
65413;10/07/2016;PTOMW;ACIDENTE;ARC;POUSO BRUSCO;CURVELO;MG;AGRÍCOLA;FINALIZADA;SAIBA MAIS
65414;08/07/2016;PTYDP;INCIDENTE GRAVE;SCF-PP;FALHA DO MOTOR EM VOO;NOVA LIMA;MG;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
65359;25/06/2016;PPGGG;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;PIRACICABA;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
65318;13/06/2016;PRGEO;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;PIRAPORA;MG;PARTICULAR;FINALIZADA;SAIBA MAIS
65292;11/06/2016;PTPJE;ACIDENTE;RI;INCURSÃO EM PISTA;FLORIANÓPOLIS;SC;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
65198;13/05/2016;PTYEL;INCIDENTE GRAVE;CTOL;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CACOAL;RO;ADMINISTRAÇÃO INDIRETA;FINALIZADA;SAIBA MAIS
61079;01/05/2016;PTEET;ACIDENTE;ARC;POUSO SEM TREM;PONTA GROSSA;PR;PARTICULAR;FINALIZADA;SAIBA MAIS
61070;22/04/2016;PRZPE;INCIDENTE GRAVE;ARC;POUSO BRUSCO;REDENÇÃO;PA;PARTICULAR;FINALIZADA;SAIBA MAIS
61012;21/04/2016;PTMCM;ACIDENTE;USOS;POUSO ANTES DA PISTA;PORTO SEGURO;BA;PARTICULAR;FINALIZADA;SAIBA MAIS
60983;09/04/2016;PRGPI;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;UIRAMUTÃ;RR;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
60975;05/04/2016;PTIXS;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;AMAJARI;RR;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
60981;04/04/2016;PRFIM;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;LUCAS DO RIO VERDE;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
60981;04/04/2016;PRFIM;ACIDENTE;RE;EXCURSÃO DE PISTA;LUCAS DO RIO VERDE;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
60980;02/04/2016;PTCTB;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;BARREIRINHAS;MA;PARTICULAR;FINALIZADA;SAIBA MAIS
60956;27/03/2016;PPSIX;ACIDENTE;RE;POUSO LONGO;SALTO DE PIRAPORA;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
60951;27/03/2016;PRJRJ;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;SÃO PAULO;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
60924;20/03/2016;PTPAC;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;SÃO CARLOS;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
60924;20/03/2016;PTPAC;ACIDENTE;RE;EXCURSÃO DE PISTA;SÃO CARLOS;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
60897;18/03/2016;PRHCT;ACIDENTE;CTOL;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CARACARAÍ;RR;ADMINISTRAÇÃO INDIRETA;FINALIZADA;SAIBA MAIS
60785;18/02/2016;PTVXD;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;NOVA UBIRATÃ;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
60730;10/02/2016;PRLDM;INCIDENTE;SCF-NP;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;ITANHAÉM;SP;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
60709;25/01/2016;PRHHA;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;CAMPO GRANDE;MS;PARTICULAR;FINALIZADA;SAIBA MAIS
60732;24/01/2016;PPFGM;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;LONDRINA;PR;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
60691;21/01/2016;PRARS;ACIDENTE;RE;EXCURSÃO DE PISTA;JUNDIAÍ;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
60661;20/01/2016;PPFIM;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;OSÓRIO;RS;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
60686;20/01/2016;PTWFX;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;LONDRINA;PR;AGRÍCOLA;FINALIZADA;SAIBA MAIS
60662;18/01/2016;PRMAA;INCIDENTE GRAVE;OTHR;HIPÓXIA;BRASÍLIA;DF;REGULAR;FINALIZADA;SAIBA MAIS
60660;11/01/2016;PTAQS;ACIDENTE;RE;POUSO LONGO;URUGUAIANA;RS;AGRÍCOLA;FINALIZADA;SAIBA MAIS
60630;08/01/2016;PRPDD;ACIDENTE;USOS;POUSO ANTES DA PISTA;RONDONÓPOLIS;MT;REGULAR;FINALIZADA;SAIBA MAIS
60677;05/01/2016;PROTJ;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;CAMPO FLORIDO;MG;AGRÍCOLA;FINALIZADA;SAIBA MAIS
60677;05/01/2016;PROTJ;INCIDENTE GRAVE;RE;EXCURSÃO DE PISTA;CAMPO FLORIDO;MG;AGRÍCOLA;FINALIZADA;SAIBA MAIS
60653;04/01/2016;PTKJI;ACIDENTE;SCF-NP;COM TREM DE POUSO;BELÉM;PA;PARTICULAR;FINALIZADA;SAIBA MAIS
60625;17/12/2015;PPHLH;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;ITÁPOLIS;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
60609;15/12/2015;PRARK;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;ARAGUAÍNA;TO;PARTICULAR;FINALIZADA;SAIBA MAIS
60620;15/12/2015;PTHVW;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;RIO DE JANEIRO;RJ;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
60612;13/12/2015;PTWPP;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;BENTO GONÇALVES;RS;PARTICULAR;FINALIZADA;SAIBA MAIS
60613;12/12/2015;PTUQH;ACIDENTE;CFIT;VOO CONTROLADO CONTRA O TERRENO;JUSCIMEIRA;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
53626;06/12/2015;PTBMU;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;AMERICANA;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
53626;06/12/2015;PTBMU;ACIDENTE;RE;EXCURSÃO DE PISTA;AMERICANA;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
53571;21/11/2015;PPGSE;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;GARIBALDI;RS;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
53568;17/11/2015;PTEZQ;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;MANAUS;AM;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
53564;09/11/2015;PRRSA;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;BALSAS;MA;PARTICULAR;FINALIZADA;SAIBA MAIS
53552;06/11/2015;PRVDA;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;TEFÉ;AM;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
53552;06/11/2015;PRVDA;INCIDENTE GRAVE;RE;EXCURSÃO DE PISTA;TEFÉ;AM;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
53551;05/11/2015;PPGSZ;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;BRAGANÇA PAULISTA;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
53545;23/10/2015;PTDIQ;INCIDENTE GRAVE;SCF-NP;ESTOURO DE PNEU;PORTO VELHO;RO;PARTICULAR;FINALIZADA;SAIBA MAIS
53546;22/10/2015;PRDMT;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;RONDONÓPOLIS;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
53543;21/10/2015;PTLKW;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;JARDIM;MS;PARTICULAR;FINALIZADA;SAIBA MAIS
53496;30/09/2015;PTVAU;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;JATAÍ;GO;PARTICULAR;FINALIZADA;SAIBA MAIS
53495;28/09/2015;PTPRA;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;SANTO ANTÔNIO DO LEVERGER;MT;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
53494;05/09/2015;PTNNZ;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;GOIÂNIA;GO;PARTICULAR;FINALIZADA;SAIBA MAIS
53471;31/08/2015;PRECK;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;BELO HORIZONTE;MG;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
53462;29/08/2015;PTAPY;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;PELOTAS;RS;PARTICULAR;FINALIZADA;SAIBA MAIS
53466;27/08/2015;PRWTW;ACIDENTE;SCF-NP;COM TREM DE POUSO;GOIÂNIA;GO;PARTICULAR;FINALIZADA;SAIBA MAIS
53436;17/08/2015;PPGTG;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;ITÁPOLIS;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
